,name,brand,country,city,power,price,km,year,years,years.category,y
147,Cabeza tractora Scania R 450,Scania,HOLANDA,Veghel,450,78400,455793,2019,3,New,48950.23324
148,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,70600,462942,2019,3,New,48950.23324
149,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,71200,423255,2019,3,New,48950.23324
150,Cabeza tractora DAF XF 530,DAF,FRANCIA,Rhône,NA,73600,395744,2019,3,New,48950.23324
151,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,60200,569652,2019,3,New,48950.23324
152,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76600,207413,2019,3,New,48950.23324
153,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76000,315705,2019,3,New,48950.23324
154,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,75900,280969,2019,3,New,48950.23324
155,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76200,291355,2019,3,New,48950.23324
156,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,71600,323951,2019,3,New,48950.23324
157,Cabeza tractora Scania S 500,Scania,HOLANDA,Velddriel,500,86500,482001,2019,3,New,48950.23324
158,Cabeza tractora Iveco Stralis 510 |,Iveco,HOLANDA,Groot,509,49500,421750,2019,3,New,48950.23324
159,Cabeza tractora DAF XF,DAF,HOLANDA,Rijen,320,49750,718274,2019,3,New,48950.23324
160,Cabeza tractora convoy excepcional Scania S450 NGS/LowLiner/Retarder/2xTank,Scania,ALEMANIA,Grevenbroich,451,83990,415899,2019,3,New,48950.23324
161,Cabeza tractora Scania R 450,Scania,HOLANDA,Veghel,450,77900,467543,2019,3,New,48950.23324
162,Cabeza tractora Volvo FH 500/I-COOL/ LOW DECK / EURO 6 /MEGA/2019/TV,Volvo,POLONIA,Bodzentyn,501,78900,344000,2019,3,New,48950.23324
163,Cabeza tractora Scania R 450/ RETARDER/ PTO /I-COOL/ EURO 6/2019 YEAR,Scania,POLONIA,Bodzentyn,451,82500,324000,2019,3,New,48950.23324
164,Cabeza tractora Scania R 500/ FULL SERVICE DONE /RETARDER/ I-PARK COOL/,Scania,POLONIA,Bodzentyn,501,68900,596000,2019,3,New,48950.23324
165,Cabeza tractora DAF XF 530,DAF,HOLANDA,Andelst,530,73500,345768,2019,3,New,48950.23324
166,Cabeza tractora DAF XF 480,DAF,HOLANDA,Andelst,482,97500,316208,2019,3,New,48950.23324
167,Cabeza tractora MAN TGS 18.460,MAN,HOLANDA,Vuren,459,68900,303232,2019,3,New,48950.23324
168,Cabeza tractora DAF XF 480,DAF,HOLANDA,Vuren,482,55900,608339,2019,3,New,48950.23324
169,Cabeza tractora Mercedes Arocs 1846 Hydrodrive,Mercedes,HOLANDA,Veghel,459,69900,290517,2019,3,New,48950.23324
170,Cabeza tractora Volvo FH13 500,Volvo,PORTUGAL,Proença A Nova,500,85000,285000,2019,3,New,48950.23324
171,Cabeza tractora Volvo FH 460,Volvo,HOLANDA,Weert,459,78800,322625,2019,3,New,48950.23324
172,Cabeza tractora Scania S 520,Scania,FRANCIA,Bas,520,45900,310173,2019,3,New,48950.23324
173,Cabeza tractora Scania S 500,Scania,HOLANDA,S,NA,75750,751000,2019,3,New,48950.23324
174,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,74300,254949,2019,3,New,48950.23324
175,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76400,267357,2019,3,New,48950.23324
176,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76500,228391,2019,3,New,48950.23324
177,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,75900,294894,2019,3,New,48950.23324
178,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,75900,302976,2019,3,New,48950.23324
179,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,75900,258282,2019,3,New,48950.23324
180,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,70800,422532,2019,3,New,48950.23324
181,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,74200,351902,2019,3,New,48950.23324
182,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS,MAN,FRANCIA,Rhône,500,61400,141654,2019,3,New,48950.23324
183,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS,MAN,FRANCIA,Seine,500,53600,375137,2019,3,New,48950.23324
184,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,72300,372965,2019,3,New,48950.23324
185,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,61000,550870,2019,3,New,48950.23324
186,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,58900,650916,2019,3,New,48950.23324
187,Cabeza tractora productos peligrosos / ADR DAF XF 480,DAF,FRANCIA,Rhône,NA,77600,169910,2019,3,New,48950.23324
188,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76700,314227,2019,3,New,48950.23324
189,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,72300,374539,2019,3,New,48950.23324
190,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,74900,337836,2019,3,New,48950.23324
191,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,70100,376505,2019,3,New,48950.23324
192,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,71300,396423,2019,3,New,48950.23324
193,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,71100,404741,2019,3,New,48950.23324
194,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS,MAN,ITALIA,Piacenza,500,68000,381529,2019,3,New,48950.23324
195,Cabeza tractora productos peligrosos / ADR MAN TGX 18.500 4X2 BLS XXL X-Lion,MAN,ITALIA,Piacenza,500,74000,390000,2019,3,New,48950.23324
196,Cabeza tractora Renault T-Series,Renault,FRANCIA,Haute,440,47500,313391,2019,3,New,48950.23324
197,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,76600,217368,2019,3,New,48950.23324
198,Cabeza tractora Renault T-Series,Renault,FRANCIA,Haute,440,47500,313391,2019,3,New,48950.23324
199,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,76600,217368,2019,3,New,48950.23324
200,Cabeza tractora DAF XF 480,DAF,FRANCIA,Val,NA,76600,217368,2019,3,New,48950.23324
201,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,77900,306632,2019,3,New,48950.23324
202,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76600,245653,2019,3,New,48950.23324
203,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,76600,245653,2019,3,New,48950.23324
204,Cabeza tractora MAN TGS 18.460,MAN,HOLANDA,Vuren,459,69900,259681,2019,3,New,48950.23324
205,Cabeza tractora productos peligrosos / ADR MAN TGX 28.580,MAN,HOLANDA,Veghel,580,67900,391455,2019,3,New,48950.23324
206,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,68500,378397,2019,3,New,48950.23324
207,Cabeza tractora DAF XF 530,DAF,HOLANDA,Maasdijk,530,79950,403500,2019,3,New,48950.23324
208,Cabeza tractora MAN TGX,MAN,FRANCIA,Yonne,470,57000,474000,2019,3,New,48950.23324
209,Cabeza tractora Scania R 450/ RETARDER/NAVI /EURO 6/2019 YEAR,Scania,POLONIA,Bodzentyn,451,78900,390000,2019,3,New,48950.23324
210,Cabeza tractora Volvo FH 420,Volvo,HOLANDA,Oud Gastel,428,72950,424108,2019,3,New,48950.23324
211,Cabeza tractora DAF XF 480,DAF,FRANCIA,Rhône,NA,78100,259894,2019,3,New,48950.23324
212,Cabeza tractora DAF XF 480,DAF,HOLANDA,Schiedam,482,82900,328000,2019,3,New,48950.23324
